Title,PC,Xbox 360,Xbox One,Playstation 3,Playstation 4,Wii U,Nintendo Switch,Action,Adventure,Battle Royale,Fighting,Shooter,Racing,Real-Time Strategy,Role-Playing,Simulation,Sports,Singleplayer,Multiplayer,Online,Local,Rating,E,E10,T,M,Price,Year,Month,Day,Picture,Description,id,steamid,targetps4,targetxone,targetswitch,gamestopps3,gamestopps4,gamestopx360,gamestopxone,gamestopwiiu,gamestopswitch,newpage
The Legend of Zelda: Breath of the Wild,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,10,0,1,0,0,44.99,2017,03,03,https://upload.wikimedia.org/wikipedia/en/c/c6/The_Legend_of_Zelda_Breath_of_the_Wild.jpg,"Breath of the Wild is an action-adventure game set in an open world where players are tasked with exploring the kingdom of Hyrule while controlling Link. Breath of the Wild encourages nonlinear gameplay, which is illustrated by the game's lack of defined entrances or exits to areas, scant instruction given to the player, and encouragement to explore freely. Breath of the Wild introduces a consistent physics engine to the Zelda series, letting players approach problems in different ways rather than trying to find a single solution. The game also integrates a ""chemistry engine"" that defines the physical properties of most objects and governs how they interact with the player and one another. For example, during thunderstorms, metal objects will attract powerful lightning strikes; during a storm, therefore, a player must be careful not to wear metal, but may also throw metal objects at enemies to draw lightning to them.[5] These design approaches result in a generally unstructured and interactive world that rewards experimentation and allows for nonlinear completion of the story.",1,0,0,0,52161264,0,0,0,0,10131600,10141904,0
Super Mario Odyssey,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,10,1,0,0,0,44.99,2017,10,27, https://upload.wikimedia.org/wikipedia/en/8/8d/Super_Mario_Odyssey.jpg,"Super Mario Odyssey is a platform game in which players control Mario as he travels across many different worlds, known as ""Kingdoms"" within the game, on the hat-shaped ship Odyssey, to rescue Princess Peach from Bowser, who plans to forcibly marry her. The Kingdoms in the game return to the exploration-based level design featured in Super Mario 64. Each Kingdom has Mario searching for and clearing various objectives in order to obtain items known as Power Moons, which are the power sources of the Odyssey and grant access to new Kingdoms. Checkpoint flags littered throughout each Kingdom allow Mario to instantly warp to them once activated. Certain levels feature areas called ""flat"" zones, where Mario is placed in a 2D side-scrolling environment similar to his appearance in the original Super Mario Bros.",2,0,0,0,52161284,0,0,0,0,0,10141908,0
Hyrule Warriors: Age of Calamity,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,9,0,0,1,0,59.99,2020,11,20,https://upload.wikimedia.org/wikipedia/en/e/e1/Hyrule_Warriors_Age_Of_Calamity.jpg,"Like the previous Hyrule Warriors game, Age of Calamitymixes the hack-and-slash gameplay of Koei Tecmo's Dynasty Warriors series of video games with settings, characters, and other elements from Nintendo's The Legend of Zelda series.The basic gameplay is participating in large-scale battles against enemies, while also completing objectives, and taking strategic actions such as capturing bases and commanding troops.",3,0,0,0,81202426,0,0,0,0,0,11108542,0
Abzu,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,9,1,0,0,0,19.99,2016,08,03,https://upload.wikimedia.org/wikipedia/en/7/73/Abzu.jpg,"In Abzu, the player takes on the role of a diver in a vast ocean-after waking up floating on the ocean's surface, the diver begins exploring the surrounding underwater environments filled with plant and animal life, in addition to uncovering ancient technology and submerged ruins. In a few areas, the diver is also able to explore land-based environments above the water. As the game progresses, the diver unlocks new areas and pursues the secrets behind the forces harming the local environment. The diver's course through the game follows a linear path through interconnected areas filled with marine life. The player directs the diver through the environments using full analogue control, able to interact with the environment to solve switch or item-based puzzles, and sit on pedestals within each area to observe the surrounding sea life. The diver can accelerate, and interact with marine life using sonar chimes. The diver can grab onto the bodies of larger marine animals and ride on them. Each area sports hidden collectables for the diver to find.",4,384190,0,0,0,0,10133637,0,10133641,0,0,0
Mario Kart 8 Deluxe,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,9.2,1,0,0,0,44.99,2017,04,28,https://upload.wikimedia.org/wikipedia/en/b/b5/MarioKart8Boxart.jpg,"Mario Kart 8 Deluxe (also called MK8D or MK8DX) is an expanded version of the 2014 Wii U racing game, Mario Kart 8, for the Nintendo Switch that was released on April 28, 2017. It includes all the original content and its DLC alongside new features, including a revised Battle Mode much similar to past games, minor gameplay changes, some new items, and several new characters like the Inkling.",5,0,0,0,52161278,0,0,0,0,0,10141928,0
Hades,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,9,0,0,1,0,24.99,2020,09,17,https://upload.wikimedia.org/wikipedia/en/c/cc/Hades_cover_art.jpg,"The player takes the role of Zagreus, the prince of the Underworld, who is trying to escape the realm to get away from his dispassionate father, Hades, and reach Mount Olympus. His quest is supported by the other Olympians, who grant him gifts to help fight the beings that protect the exit from the Underworld. He is also helped on his quest by notorious residents of the Underworld, such as Sisyphus, Eurydice, or Patroclus. The game features four ""biomes"", or locales of the underworld: Tartarus, Asphodel, Elysium, and the Temple of Styx.",6,1145360,0,0,81943429,0,0,0,0,0,11110524,0
Minecraft,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,9.3,0,1,0,0,29.99,2009,05,17,https://upload.wikimedia.org/wikipedia/en/5/51/Minecraft_cover.png,"In Minecraft, players explore a blocky, procedurally-generated 3D world with infinite terrain, and may discover and extract raw materials, craft tools and items, and build structures or earthworks. Depending on game mode, players can fight computer-controlled ""mobs"", as well as cooperate with or compete against other players in the same world. Game modes include a survival mode, in which players must acquire resources to build the world and maintain health, and a creative mode, where players have unlimited resources. Players can modify the game to create new gameplay mechanics, items, and assets.",7,0,78857526,54017702,54011118,10113355,10115481,10108713,10117341,10151161,10162373,0
Animal Crossing: New Horizons,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,9,1,0,0,0,59.99,2020,03,20,https://upload.wikimedia.org/wikipedia/en/1/1f/Animal_Crossing_New_Horizons.jpg,"In New Horizons, the player assumes the role of a customizable character who moves to a deserted island after purchasing a package from Tom Nook, a tanuki character who has appeared in every entry in the Animal Crossing series. Taking place in real-time, the player can explore the island in a nonlinear fashion, gathering and crafting items, catching insects and fish, and developing the island into a community of anthropomorphic animals.",8,0,0,0,76780148,0,0,0,0,0,10168434,0
The Witcher 3: Wild Hunt,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,9.3,0,0,0,1,19.99,2015,05,19,https://upload.wikimedia.org/wikipedia/en/0/0c/Witcher_3_cover_art.jpg,"The game takes place in a fictional fantasy world based on Slavonic mythology. Players control protagonist Geralt of Rivia, a monster slayer for hire known as a Witcher who is looking for his missing adopted daughter on the run from the Wild Hunt, an otherworldly force determined to capture her. Players battle the game's many dangers with weapons and magic, interact with non-player characters, and complete quests to acquire experience points and gold, which are used to increase Geralt's abilities and purchase equipment. Its central story has several endings, determined by the player's choices at certain points in the game.",9,292030,0,0,78795127,0,10113676,0,10113677,0,11094716,0
Dark Souls III,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,9.5,0,0,0,1,19.99,2016,03,24,https://upload.wikimedia.org/wikipedia/en/b/bb/Dark_souls_3_cover_art.jpg,"Dark Souls III was critically and commercially successful, with critics calling it a worthy and fitting conclusion to the series. It was the fastest-selling game in Bandai Namco's history, shipping over three million copies within its first two months and over 10 million by 2020. A complete version containing the base game and both expansions, Dark Souls III: The Fire Fades, was released in April 2017.",10,374320,0,0,0,0,10129246,0,10129987,0,0,0
